dis_no,seq,start,end,years,decade,decade_year,category,subcategory,type,subtype,event_name,country,iso,latitude,longitude,region,continent,deaths,affected,deaths_affected,random_x,random_y
1969-0091-GTM,212,1969,1969,0,7,9,Meteorological,Storm,Storm,Tropical Cyclone,Francelia,Guatemala,GTM,15.783471,-90.230759,Central America,Americas,269,10200,10469,0.269452899,0.008784673
1969-0004-BFA,206,1969,1969,0,7,9,Biological,Epidemic,Epidemic,Viral Disease,"Meningitis, Measles",Burkina Faso,BFA,12.238333,-1.561593,Western Africa,Africa,304,4550,4854,0.827346612,0.322376638
1969-0101-NGA,573,1969,1969,0,7,9,Biological,Epidemic,Epidemic,Viral Disease,Yellow Fever,Nigeria,NGA,9.081999,8.675277,Western Africa,Africa,2000,80000,82000,0.990383803,0.985990637
1969-0065-BGD,208,1969,1969,0,7,9,Meteorological,Storm,Storm,Tropical Cyclone,,Bangladesh,BGD,23.684994,90.356331,Southern Asia,Asia,849,199473,200322,0.840565955,0.249391408
1969-0057-BRA,209,1969,1969,0,7,9,Hydrological,Flood,Flood,Flash Flood,,Brazil,BRA,-14.235004,-51.92528,South America,Americas,316,38305,38621,0.986181362,0.65475102
1969-0082-CHN,210,1969,1969,0,7,9,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,3000,53810,56810,0.734352071,0.354688903
1969-0071-IND,213,1969,1969,0,7,9,Meteorological,Storm,Storm,Tropical Cyclone,,India,IND,20.593684,78.96288,Southern Asia,Asia,600,260000,260600,0.733129935,0.012340795
1969-0109-IND,214,1969,1969,0,7,9,Meteorological,Storm,Storm,Tropical Cyclone,,India,IND,20.593684,78.96288,Southern Asia,Asia,200,,200,0.195978817,0.247324243
1969-0093-KOR,571,1969,1969,0,7,9,Hydrological,Flood,Flood,Flood,,South Korea,KOR,35.907757,127.766922,Eastern Asia,Asia,408,227673,228081,0.256031163,0.226637646
1969-0003-MLI,572,1969,1969,0,7,9,Biological,Epidemic,Epidemic,Bacterial Disease,,Mali,MLI,17.570692,-3.996166,Western Africa,Africa,500,4000,4500,0.703472113,0.114855985
1969-0094-TUN,575,1969,1969,0,7,9,Hydrological,Flood,Flood,Flood,,Tunisia,TUN,33.886917,9.537499,Northern Africa,Africa,540,271269,271809,0.739046086,0.34539348
